output_cell,original_cell,similarity_score
Naive CD8+ T,Platelet,0.0
CD8+ NKT-like,Platelet,0.0
Platelets,Platelet,9.0
Myeloid Dendritic,Platelet,0.0
Non-classical monocytes,Platelet,0.0
Classical Monocytes,Platelet,0.0
Natural killer,Platelet,0.0
Naive B,Platelet,0.0
Memory CD4+ T,Platelet,0.0
Naive CD8+ T,NK,0.0
CD8+ NKT-like,NK,3.0
Platelets,NK,0.0
Myeloid Dendritic,NK,0.0
Non-classical monocytes,NK,0.0
Classical Monocytes,NK,0.0
Natural killer,NK,10.0
Naive B,NK,0.0
Memory CD4+ T,NK,0.0
Naive CD8+ T,Memory CD4 T,0.0
CD8+ NKT-like,Memory CD4 T,0.0
Platelets,Memory CD4 T,0.0
Myeloid Dendritic,Memory CD4 T,0.0
Non-classical monocytes,Memory CD4 T,0.0
Classical Monocytes,Memory CD4 T,0.0
Natural killer,Memory CD4 T,0.0
Naive B,Memory CD4 T,0.0
Memory CD4+ T,Memory CD4 T,10.0
Naive CD8+ T,CD14+ Mono,0.0
CD8+ NKT-like,CD14+ Mono,0.0
Platelets,CD14+ Mono,0.0
Myeloid Dendritic,CD14+ Mono,4.0
Non-classical monocytes,CD14+ Mono,8.0
Classical Monocytes,CD14+ Mono,10.0
Natural killer,CD14+ Mono,0.0
Naive B,CD14+ Mono,0.0
Memory CD4+ T,CD14+ Mono,0.0
Naive CD8+ T,FCGR3A+ Mono,0.0
CD8+ NKT-like,FCGR3A+ Mono,3.0
Platelets,FCGR3A+ Mono,0.0
Myeloid Dendritic,FCGR3A+ Mono,4.0
Non-classical monocytes,FCGR3A+ Mono,8.0
Classical Monocytes,FCGR3A+ Mono,7.0
Natural killer,FCGR3A+ Mono,7.0
Naive B,FCGR3A+ Mono,0.0
Memory CD4+ T,FCGR3A+ Mono,0.0
Naive CD8+ T,Naive CD4 T,0.0
CD8+ NKT-like,Naive CD4 T,0.0
Platelets,Naive CD4 T,0.0
Myeloid Dendritic,Naive CD4 T,0.0
Non-classical monocytes,Naive CD4 T,0.0
Classical Monocytes,Naive CD4 T,0.0
Natural killer,Naive CD4 T,0.0
Naive B,Naive CD4 T,0.0
Memory CD4+ T,Naive CD4 T,0.0
Naive CD8+ T,B,0.0
CD8+ NKT-like,B,0.0
Platelets,B,0.0
Myeloid Dendritic,B,0.0
Non-classical monocytes,B,0.0
Classical Monocytes,B,0.0
Natural killer,B,0.0
Naive B,B,10.0
Memory CD4+ T,B,0.0
Naive CD8+ T,DC,0.0
CD8+ NKT-like,DC,0.0
Platelets,DC,0.0
Myeloid Dendritic,DC,10.0
Non-classical monocytes,DC,3.0
Classical Monocytes,DC,3.0
Natural killer,DC,0.0
Naive B,DC,0.0
Memory CD4+ T,DC,0.0
Naive CD8+ T,CD8 T,10.0
CD8+ NKT-like,CD8 T,6.0
Platelets,CD8 T,0.0
Myeloid Dendritic,CD8 T,0.0
Non-classical monocytes,CD8 T,0.0
Classical Monocytes,CD8 T,0.0
Natural killer,CD8 T,0.0
Naive B,CD8 T,0.0
Memory CD4+ T,CD8 T,0.0
Megakaryocyte,Platelet,2.0
Plasmacytoid Dendritic,Platelet,0.0
Macrophages,Platelet,0.0
Megakaryocyte,NK,0.0
Plasmacytoid Dendritic,NK,0.0
Macrophages,NK,0.0
Megakaryocyte,Memory CD4 T,0.0
Plasmacytoid Dendritic,Memory CD4 T,0.0
Macrophages,Memory CD4 T,0.0
Megakaryocyte,CD14+ Mono,0.0
Plasmacytoid Dendritic,CD14+ Mono,0.0
Macrophages,CD14+ Mono,8.0
Megakaryocyte,FCGR3A+ Mono,3.0
Plasmacytoid Dendritic,FCGR3A+ Mono,2.0
